"Date","Price","Open","High","Low","Vol.","Change %"
"07/09/2024","1.0812","1.0829","1.0834","1.0805","","-0.09%"
"07/08/2024","1.0822","1.0809","1.0846","1.0802","","-0.13%"
"07/05/2024","1.0836","1.0812","1.0843","1.0809","","0.24%"
"07/04/2024","1.0810","1.0786","1.0814","1.0783","","0.22%"
"07/03/2024","1.0786","1.0743","1.0818","1.0735","","0.39%"
"07/02/2024","1.0744","1.0741","1.0748","1.0709","","0.06%"
"07/01/2024","1.0738","1.0728","1.0777","1.0719","","0.23%"
"06/28/2024","1.0713","1.0703","1.0726","1.0684","","0.10%"
"06/27/2024","1.0702","1.0680","1.0727","1.0676","","0.22%"
"06/26/2024","1.0679","1.0713","1.0718","1.0666","","-0.32%"
"06/25/2024","1.0713","1.0735","1.0745","1.0690","","-0.18%"
"06/24/2024","1.0732","1.0688","1.0747","1.0683","","0.38%"
"06/21/2024","1.0691","1.0702","1.0721","1.0670","","-0.08%"
"06/20/2024","1.0700","1.0745","1.0749","1.0702","","-0.39%"
"06/19/2024","1.0742","1.0740","1.0754","1.0724","","0.04%"
"06/18/2024","1.0738","1.0734","1.0762","1.0709","","0.04%"
"06/17/2024","1.0734","1.0702","1.0739","1.0686","","0.32%"
"06/14/2024","1.0700","1.0737","1.0746","1.0668","","-0.33%"
"06/13/2024","1.0735","1.0809","1.0817","1.0733","","-0.67%"
"06/12/2024","1.0807","1.0742","1.0853","1.0734","","0.63%"
"06/11/2024","1.0739","1.0765","1.0775","1.0719","","-0.22%"
"06/10/2024","1.0763","1.0797","1.0797","1.0732","","-0.34%"
"06/07/2024","1.0800","1.0890","1.0903","1.0799","","-0.81%"
"06/06/2024","1.0888","1.0869","1.0903","1.0862","","0.18%"
"06/05/2024","1.0868","1.0879","1.0892","1.0854","","-0.09%"
"06/04/2024","1.0878","1.0904","1.0917","1.0859","","-0.22%"
"06/03/2024","1.0902","1.0851","1.0905","1.0826","","0.56%"
"05/31/2024","1.0841","1.0832","1.0883","1.0811","","0.08%"
"05/30/2024","1.0832","1.0802","1.0846","1.0788","","0.30%"
"05/29/2024","1.0800","1.0857","1.0861","1.0799","","-0.51%"
"05/28/2024","1.0855","1.0860","1.0890","1.0853","","-0.03%"
"05/27/2024","1.0858","1.0854","1.0868","1.0841","","0.12%"
"05/24/2024","1.0845","1.0814","1.0859","1.0805","","0.30%"
"05/23/2024","1.0813","1.0824","1.0862","1.0805","","-0.07%"
"05/22/2024","1.0821","1.0855","1.0864","1.0817","","-0.30%"
"05/21/2024","1.0854","1.0859","1.0876","1.0842","","-0.01%"
"05/20/2024","1.0855","1.0866","1.0885","1.0854","","-0.14%"
"05/17/2024","1.0870","1.0866","1.0879","1.0835","","0.05%"
"05/16/2024","1.0865","1.0885","1.0896","1.0854","","-0.16%"
"05/15/2024","1.0882","1.0819","1.0886","1.0812","","0.59%"
"05/14/2024","1.0818","1.0788","1.0826","1.0767","","0.28%"
"05/13/2024","1.0788","1.0774","1.0807","1.0766","","0.18%"
"05/10/2024","1.0769","1.0782","1.0790","1.0760","","-0.11%"
"05/09/2024","1.0781","1.0751","1.0785","1.0724","","0.34%"
"05/08/2024","1.0745","1.0754","1.0758","1.0734","","-0.07%"
"05/07/2024","1.0752","1.0770","1.0788","1.0747","","-0.15%"
"05/06/2024","1.0768","1.0762","1.0791","1.0754","","0.09%"
"05/03/2024","1.0758","1.0727","1.0813","1.0724","","0.31%"
"05/02/2024","1.0725","1.0711","1.0731","1.0674","","0.15%"
"05/01/2024","1.0709","1.0664","1.0733","1.0649","","0.41%"
"04/30/2024","1.0665","1.0724","1.0736","1.0664","","-0.50%"
"04/29/2024","1.0719","1.0695","1.0734","1.0690","","0.25%"
"04/26/2024","1.0692","1.0732","1.0754","1.0674","","-0.34%"
"04/25/2024","1.0729","1.0699","1.0740","1.0678","","0.30%"
"04/24/2024","1.0697","1.0703","1.0715","1.0677","","-0.02%"
"04/23/2024","1.0699","1.0655","1.0712","1.0638","","0.42%"
"04/22/2024","1.0654","1.0656","1.0671","1.0623","","0.00%"
"04/19/2024","1.0654","1.0645","1.0678","1.0610","","0.10%"
"04/18/2024","1.0643","1.0672","1.0690","1.0641","","-0.26%"
"04/17/2024","1.0671","1.0619","1.0680","1.0605","","0.51%"
"04/16/2024","1.0617","1.0624","1.0654","1.0601","","-0.05%"
