Data,Último,Abertura,Máxima,Mínima,Vol.,Var%,Média movel curta,Média movel longa,Sinal,EMA10,EMA30,EMA200,ROC10,ROC30,MOM10,MOM30,RSI10,RSI30,RSI200,%K10,%D10,%K30,%D30,%K200,%D200,simple_rtn,log_rtn
2025-02-03,101337.1,97686.0,102372.2,91695.8,"190,81K","3,74%",97281.29,94109.79333333335,1.0,97537.72425590757,94457.38158745815,,3.530602883288231,16.123979130546388,4726.900000000009,10725.400000000009,72.42054461315986,60.3383134038252,,90.30478438424944,60.041872748270066,95.69468938209167,87.59159381437253,,,0.036236596743747684,0.0355954929989146
2025-02-02,97684.9,100647.1,101451.0,96250.2,"99,36K","-2,94%",97261.65,94457.08,1.0,97564.48348989034,94667.01848904404,,1.9976673693794693,13.310799132812198,-196.40000000000873,10418.599999999991,55.080087047378626,56.11926294616652,,56.09662433029855,64.99058150033174,80.50402622034404,86.50262183373589,,,-0.03604010771968025,-0.03670559075546553
2025-02-01,100648.0,102421.3,102770.8,100293.5,"47,48K","-1,73%",97749.28,94938.35666666667,1.0,98125.1229888,95055.33136199397,,3.2979010557840303,6.771222859785853,4876.300000000003,14438.300000000003,63.0546637121228,58.55170887864786,,80.83250564334084,75.74463811929628,91.31459432920092,89.17110331054555,,,0.030333244953928418,0.0298822887043781
2025-01-31,102424.2,104726.9,105876.3,101576.0,"82,79K","-2,20%",98248.23000000001,95210.32666666668,1.0,98906.7735066848,95533.55691645454,,6.172954683982038,18.998833529294203,4989.5,8159.099999999991,66.96123363591988,59.92913039749162,,75.65600648778248,70.86171215380729,87.46809939556748,86.4289066483708,,,0.017647643271599955,0.01749373176048517
2025-01-30,104726.9,103723.0,106409.1,103388.4,"74,84K","0,97%",99074.0,95832.17,1.0,99964.97849225062,96129.95958420927,,8.583909032752398,24.111650462425278,8257.699999999997,18655.29999999999,71.32832282923442,61.638833842927916,,88.56680690259824,81.68510634457387,94.00910991370863,90.93060121282566,,,0.022481991560588277,0.02223299661403991
2025-01-29,103722.0,101342.1,104760.0,101340.6,"74,38K","2,34%",99801.41,96476.86333333333,1.0,100648.073400888,96622.30457494695,,7.468903314044149,22.436982527214898,7274.100000000006,19340.800000000003,67.03203267536563,60.47398558736673,,81.73693189155387,81.98658176064487,88.83918558576518,90.10546496501377,,,-0.009595433455969693,-0.009641766254650094
2025-01-28,101349.3,102085.2,103584.1,100288.0,"74,69K","-0,73%",100284.99,97031.35333333333,1.0,100775.56915977929,96928.7485966135,,4.950356636926212,20.349187236604465,4835.800000000003,16634.699999999997,57.885093239525354,57.80572034864456,,65.6107059599138,78.63814825135532,78.984225085354,87.27750686160927,,,-0.022875571238502923,-0.023141277053304217
2025-01-27,102091.7,102618.3,103234.8,97987.5,"146,38K","-0,53%",100837.28,97627.32,1.0,101014.86569706506,97263.35047048358,,5.690131921532408,15.115914575017475,5522.899999999994,17879.0,59.79254105439885,58.39983983755076,,70.65648087104859,72.6680395741721,78.7441658953504,82.18919218882318,,,0.007325161594603946,0.007298462900629576
2025-01-26,102637.8,104743.8,105399.8,102543.8,"32,18K","-2,01%",101441.53,98092.37999999999,1.0,101309.94468230309,97611.55744847024,,4.953708532477661,12.162039591950478,6042.5,13951.800000000003,61.22779588058351,58.84084547088901,,74.36808873604153,70.21175852233465,74.90918526206538,77.54585874758993,,,0.00534911261150528,0.005334856922899224
2025-01-25,104742.9,104861.4,105255.6,104133.9,"37,68K","-0,11%",102136.48000000001,98533.52666666666,1.0,101934.11841289182,98073.466152848,,3.3608619153301094,8.813843513528106,6949.5,13234.399999999994,66.36956856530249,60.510234299677194,,88.67555205154513,77.90004055287842,88.67555205154513,80.77630106965363,,,0.020509987548446906,0.020302490136526345
2025-01-24,104862.3,103913.6,107102.2,102760.0,"83,96K","0,91%",102489.0,98820.31000000001,1.0,102466.51509053937,98513.07768643441,,7.347502019247611,8.602460124217938,3525.199999999997,8603.5,66.64830858874873,60.60399010058279,,79.35956505713237,80.80106861490636,85.46123688856582,83.01532473405878,,,0.0011399340671300884,0.0011392848356319473
2025-01-23,103912.1,103681.3,106806.5,101281.6,"141,80K","0,22%",103111.72,99065.51000000001,1.0,102729.34872071948,98862.60832827701,,3.2430848104284293,8.066612864981343,6227.200000000012,7356.0,62.09729857858058,59.44216129714792,,65.00049370796633,77.67853693888128,79.29367016304917,84.47681970105337,,,-0.009061407197820337,-0.009102711453807802
2025-01-22,103684.8,106157.2,106266.2,103354.4,"77,56K","-2,33%",103415.4,99316.48333333334,1.0,102903.06714069229,99174.72542004059,,1.2307638233933054,5.466873766024516,3036.800000000003,7529.199999999997,60.990364426181856,59.16149663248251,,62.50671991398515,68.95559289302795,77.81830927406796,80.85773877522765,,,-0.0021874257184678614,-0.002189821628659451
